field,type,date,la_wk,ha_wk,disc_ha_la
F12,Natural (training),20250423,39.65,49.76,10.11
F12,Natural (training),20250429,36.43,49.5,13.07
F12,Natural (training),20250513,16.92,25.83,8.91
F12,Natural (training),20250525,4.15,7.56,3.41
EXP2,Natural (training),20250503,58.06,62.08,4.02
EXP2,Natural (training),20250508,61.08,80.29,19.21
EXP2,Natural (training),20250513,45.91,39.47,-6.44
EXP2,Natural (training),20250525,27.28,20.29,-6.99
EXP2,Natural (training),20250530,17.1,14.75,-2.35
EXP2,Natural (training),20250611,0.74,2.46,1.72
F17,Natural (new),20250503,27.71,46.86,19.15
F17,Natural (new),20250508,24.97,38.89,13.92
F17,Natural (new),20250513,14.38,30.87,16.49
F17,Natural (new),20250519,9.52,17.21,7.69
F17,Natural (new),20250525,4.99,9.74,4.75
F21,Natural (new),20250503,58.45,78.48,20.03
F21,Natural (new),20250508,56.44,74.04,17.6
F21,Natural (new),20250520,18.91,30.37,11.46
EXP1,Experimental,20250513,63.51,88.99,25.48
EXP1,Experimental,20250519,73.77,85.79,12.02
EXP1,Experimental,20250525,83.63,88.88,5.25
EXP1,Experimental,20250530,73.84,85.89,12.05
EXP1,Experimental,20250605,55.02,77.9,22.88
EXP1,Experimental,20250611,58.41,80.28,21.87
