field,altitude,date,wk_pct,green_pct,field_type,mission
F12,LA,2025-04-23,39.65,60.35,Natural,20250423_RBD_REPAR_F12_LA
F12,LA,2025-04-29,36.43,63.57,Natural,20250429_RBD_REPAR_F12_LA
F12,LA,2025-05-13,16.92,83.08,Natural,20250513_RBD_REPAR_F12_LA
F12,LA,2025-05-25,4.15,95.85,Natural,20250525_RBD_REPAR_F12_LA
EXP2,LA,2025-05-03,58.06,41.94,Natural,20250503_RBD_REPAR_exp2_LA
EXP2,LA,2025-05-08,61.08,38.92,Natural,20250508_RBD_REPAR_exp2_LA
EXP2,LA,2025-05-13,45.91,54.09,Natural,20250513_RBD_REPAR_exp2_LA
EXP2,LA,2025-05-19,35.05,64.95,Natural,20250519_RBD_REPAR_exp2_LA
EXP2,LA,2025-05-25,27.28,72.72,Natural,20250525_RBD_REPAR_exp2_LA
EXP2,LA,2025-05-30,17.1,82.9,Natural,20250530_RBD_REPAR_exp2_LA
EXP2,LA,2025-06-05,2.69,97.31,Natural,20250605_RBD_Vallreparera_exp2_LA
EXP2,LA,2025-06-11,0.74,99.26,Natural,20250611_RBD_REPAR_exp2_LA
F12,HA,2025-04-23,49.76,50.24,Natural,20250423_RBD_REPAR_F12_HA
F12,HA,2025-04-29,49.5,50.5,Natural,20250429_RBD_REPAR_F12_HA
F12,HA,2025-05-08,50.6,49.4,Natural,20250508_RBD_REPAR_F12_HA
F12,HA,2025-05-13,25.83,74.17,Natural,20250513_RBD_REPAR_F12_HA
F12,HA,2025-05-19,11.73,88.27,Natural,20250519_RBD_REPAR_F12_HA
F12,HA,2025-05-25,7.56,92.44,Natural,20250525_RBD_REPAR_F12_HA
EXP2,HA,2025-05-03,62.08,37.92,Natural,20250503_RBD_REPAR_exp2_HA
EXP2,HA,2025-05-08,80.29,19.71,Natural,20250508_RBD_REPAR_exp2_HA
EXP2,HA,2025-05-13,39.47,60.53,Natural,20250513_RBD_REPAR_exp2_HA
EXP2,HA,2025-05-25,20.29,79.71,Natural,20250525_RBD_REPAR_exp2_HA
EXP2,HA,2025-05-30,14.75,85.25,Natural,20250530_RBD_REPAR_exp2_HA
EXP2,HA,2025-06-11,2.46,97.54,Natural,20250611_RBD_REPAR_exp2_HA
EXP1,HA,2025-05-19,85.79,14.21,Experimental,20250519_RBD_REPAR_exp1_HA
EXP1,LA,2025-05-19,73.77,26.23,Experimental,20250519_RBD_REPAR_exp1_LA
EXP1,HA,2025-05-25,88.88,11.12,Experimental,20250525_RBD_REPAR_exp1_HA
EXP1,LA,2025-05-25,83.63,16.37,Experimental,20250525_RBD_REPAR_exp1_LA
EXP1,HA,2025-05-30,85.89,14.11,Experimental,20250530_RBD_REPAR_exp1_HA
EXP1,LA,2025-05-30,73.84,26.16,Experimental,20250530_RBD_REPAR_exp1_LA
EXP1,HA,2025-05-08,91.97,8.03,Experimental,20250508_RBD_REPAR_exp1_HA
EXP1,LA,2025-05-08,98.51,1.49,Experimental,20250508_RBD_REPAR_exp1_LA
EXP1,HA,2025-05-13,88.99,11.01,Experimental,20250513_RBD_REPAR_exp1_HA
EXP1,LA,2025-05-13,63.51,36.49,Experimental,20250513_RBD_REPAR_exp1_LA
EXP1,HA,2025-06-05,77.9,22.1,Experimental,20250605_RBD_Vallreparera_exp1_HA
EXP1,LA,2025-06-05,55.02,44.98,Experimental,20250605_RBD_Vallreparera_exp1_LA
EXP1,HA,2025-06-11,80.28,19.72,Experimental,20250611_RBD_REPAR_exp1_HA
EXP1,LA,2025-06-11,58.41,41.59,Experimental,20250611_RBD_REPAR_exp1_LA
F17,HA,2025-05-03,46.86,53.14,Natural,20250503_RBD_REPAR_F17_HA
F17,LA,2025-05-03,27.71,72.29,Natural,20250503_RBD_REPAR_F17_LA
F17,HA,2025-05-13,30.87,69.13,Natural,20250513_RBD_REPAR_F17_HA
F17,LA,2025-05-13,14.38,85.62,Natural,20250513_RBD_REPAR_F17_LA
F17,LA,2025-05-19,9.52,90.48,Natural,20250519_RBD_REPAR_F17_LA
F17B,LA,2025-05-19,8.55,91.45,Natural,20250519_RBD_REPAR_F17b_LA
F17,HA,2025-05-25,9.74,90.26,Natural,20250525_RBD_REPAR_F17_HA
F17,LA,2025-05-25,4.99,95.01,Natural,20250525_RBD_REPAR_F17_LA
F17B,LA,2025-05-25,5.05,94.95,Natural,20250525_RBD_REPAR_F17b_LA
F17,HA,2025-05-08,38.89,61.11,Natural,20250508_RBD_REPAR_F17_HA
F17,LA,2025-05-08,24.97,75.03,Natural,20250508_RBD_REPAR_F17_LA
F17,HA,2025-05-19,17.21,82.79,Natural,20250519_RBD_REPAR_F17_HA
F21,HA,2025-05-03,78.48,21.52,Natural,20250503_RBD_REPAR_F21_HA
F21,LA,2025-05-03,58.45,41.55,Natural,20250503_RBD_REPAR_F21_LA
F21,HA,2025-05-20,30.37,69.63,Natural,20250520_RBD_REPAR_F21_HA
F21,LA,2025-05-20,18.91,81.09,Natural,20250520_RBD_REPAR_F21_LA
F21,HA,2025-05-08,74.04,25.96,Natural,20250508_RBD_REPAR_F21_HA
F21,LA,2025-05-08,56.44,43.56,Natural,20250508_RBD_REPAR_F21_LA
